text_index,true_equation,gpm_equation,mlp_y,gpm_y,mlp_rel_err,gpm_rel_err,mlp_train_time,gpm_train_time
11,sqrt(x1)+0.51*x1**2-0.17*x1,"sqrt(mul(mul(X0, 0.654), exp(X0)))","[ 5.88377328  6.06956437  6.25535546  6.44114655  6.62693764  6.81272874
  6.99851983  7.18431092  7.37010201  7.5558931   7.74168419  7.92747528
  8.11326637  8.29905746  8.48484856  8.67063965  8.85643074  9.04222183
  9.22801292  9.41380401  9.5995951   9.78538619  9.97117728 10.14550764
 10.30052207 10.45553651 10.61055094 10.76556538 10.92057981 11.07559424]","[ 6.70905378  7.16589004  7.65009528  8.16326804  8.70709624  9.28336224
  9.89394821 10.54084175 11.22614177 11.95206479 12.72095146 13.53527352
 14.39764109 15.31081037 16.27769176 17.30135843 18.3850553  19.53220863
 20.74643596 22.03155678 23.39160362 24.83083385 26.35374207 27.96507319
 29.66983623 31.47331889 33.38110282 35.39907987 37.53346909 39.79083475]",0.08486198375838533,0.28304752293109214,1.732464075088501,82.84643864631653
12,1.25*x1+0.85*sqrt(-0.68*x1-1),"add(add(0.396, X0), sqrt(X0))","[5.34348878 5.48029671 5.61710465 5.75391258 5.89072052 6.02752845
 6.16433639 6.30114432 6.43795225 6.57476019 6.71156812 6.84837606
 6.98518399 7.12199192 7.25879986 7.39560779 7.53241573 7.66922366
 7.80603159 7.94283953 8.07964746 8.2164554  8.35326333 8.49007126
 8.6268792  8.76368713 8.90049507 9.037303   9.17411094 9.31091887]","[5.25695346 5.38512615 5.51286198 5.64018066 5.76710046 5.89363837
 6.01981018 6.14563064 6.27111354 6.39627177 6.52111744 6.64566192
 6.76991591 6.89388947 7.01759211 7.14103283 7.26422011 7.387162
 7.50986613 7.63233975 7.75458973 7.87662262 7.99844466 8.12006178
 8.24147965 8.36270368 8.48373905 8.60459069 8.72526333 8.84576151]",9.87978335384614e-05,0.001979730905859993,1.079467535018921,77.96498489379883
13,sin(x1**2-0.11*x1),"sin(add(mul(X0, X0), -0.157))","[-0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125
 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125
 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125
 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125
 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125 -0.0979125]","[-0.02797606 -0.61151959 -0.96566205 -0.91823991 -0.45610451  0.23419169
  0.82283794  0.98942038  0.60932228 -0.13438658 -0.81037649 -0.97926445
 -0.49409906  0.34590368  0.94681907  0.835142    0.05835773 -0.77808352
 -0.95801115 -0.28593647  0.65939703  0.98398302  0.33497266 -0.66569425
 -0.96949667 -0.2115581   0.79367786  0.87947667 -0.09509457 -0.95950466]",0.4860594243844175,0.06760061522158556,1.3185148239135742,74.59109735488892
14,0.7*sqrt(x1-0.51),"sin(mul(0.508, X0))","[1.21376216 1.25006752 1.28637287 1.32267823 1.35898358 1.39528894
 1.43159429 1.46789965 1.504205   1.54051036 1.57681571 1.61312107
 1.64942642 1.68573178 1.72203713 1.75834249 1.79464784 1.8309532
 1.86725855 1.90356391 1.93986926 1.97617462 2.01247997 2.04878532
 2.08509068 2.12139603 2.15770139 2.19400674 2.2303121  2.26661745]","[0.99998589 0.99842377 0.99428136 0.98756935 0.97830509 0.96651253
 0.95222214 0.93547085 0.91630196 0.894765   0.87091563 0.8448155
 0.81653205 0.78613837 0.75371302 0.71933979 0.68310753 0.64510985
 0.60544498 0.56421541 0.52152769 0.47749216 0.4322226  0.38583603
 0.3384523  0.2901939  0.24118552 0.19155383 0.14142709 0.09093485]",0.06627958855854187,0.3085327366647691,1.4807038307189941,73.93681955337524
15,sqrt(x1**2+0.31*x1),"add(X0, 0.143)","[3.25077438 3.35091608 3.45105778 3.53750634 3.59355695 3.64960755
 3.70565816 3.76170876 3.81775937 3.87380998 3.92986058 3.98591119
 4.0419618  4.0980124  4.15406301 4.21011362 4.26616422 4.32221483
 4.37826544 4.43431604 4.49036665 4.54641726 4.60246786 4.65851847
 4.71456907 4.77061968 4.82667029 4.88272089 4.9387715  4.99482211]","[3.24344761 3.34344761 3.44344761 3.54344761 3.64344761 3.74344761
 3.84344761 3.94344761 4.04344761 4.14344761 4.24344761 4.34344761
 4.44344761 4.54344761 4.64344761 4.74344761 4.84344761 4.94344761
 5.04344761 5.14344761 5.24344761 5.34344761 5.44344761 5.54344761
 5.64344761 5.74344761 5.84344761 5.94344761 6.04344761 6.14344761]",0.013896342611546441,2.1636874140507885e-06,0.9558281898498535,12.257973432540894
16,4*x1-0.25,"add(log(0.539), add(mul(div(X0, X0), add(X0, X0)), add(add(0.861, X0), add(X0, -0.488))))","[12.14900915 12.54851027 12.9480114  13.34751253 13.74701366 14.14651478
 14.54601591 14.94551704 15.34501817 15.74451929 16.14402042 16.54352155
 16.94302267 17.3425238  17.74202493 18.14152606 18.54102718 18.94052831
 19.34002944 19.73953057 20.13903169 20.53853282 20.93803395 21.33753508
 21.7370362  22.13653733 22.53603846 22.93553959 23.33504071 23.73454184]","[12.15602207 12.55602207 12.95602207 13.35602207 13.75602207 14.15602207
 14.55602207 14.95602207 15.35602207 15.75602207 16.15602207 16.55602207
 16.95602207 17.35602207 17.75602207 18.15602207 18.55602207 18.95602207
 19.35602207 19.75602207 20.15602207 20.55602207 20.95602207 21.35602207
 21.75602207 22.15602207 22.55602207 22.95602207 23.35602207 23.75602207]",2.0958886900253844e-07,1.2669134283921486e-07,3.5569355487823486,30.639380931854248
17,1.64*x1**2-0.31*x1-0.13,"mul(add(log(sqrt(X0)), X0), div(X0, 0.786))","[11.65763852 11.96374912 12.26985973 12.57597033 12.88208094 13.18819154
 13.49430215 13.80041275 14.10652336 14.41263396 14.71874456 15.02485517
 15.33096577 15.63707638 15.94318698 16.24929759 16.55540819 16.8615188
 17.1676294  17.47374001 17.77985061 18.08596122 18.39207182 18.69818243
 19.00429303 19.31040363 19.61651424 19.92262484 20.22873545 20.53484605]","[14.46639303 15.40509088 16.37123894 17.36477692 18.38564804 19.43379881
 20.50917869 21.61173986 22.74143705 23.89822729 25.08206976 26.29292564
 27.53075795 28.79553145 30.08721247 31.40576886 32.75116987 34.12338605
 35.52238918 36.94815218 38.40064907 39.87985489 41.38574563 42.91829819
 44.47749033 46.06330061 47.67570835 49.31469363 50.98023717 52.67232038]",0.24255055654143284,0.0027936939631926683,0.907404899597168,84.20224976539612
18,sqrt(-sin(0.37*x1-0.65)),0.570,"[0.76483787 0.80984714 0.85485641 0.89986569 0.94487496 0.98988423
 1.03489351 1.07990278 1.12491205 1.16992133 1.2149306  1.25993987
 1.30494915 1.34995842 1.39496769 1.43997697 1.48498624 1.52999551
 1.57500479 1.62001406 1.66502333 1.71003261 1.75504188 1.80005115
 1.84506043 1.8900697  1.93507897 1.98008825 2.02509752 2.07010679]","[0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197
 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197
 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197
 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197 0.5702197
 0.5702197 0.5702197]",0.35826197138504334,0.1174750452230074,1.5504939556121826,71.31660652160645
19,1.48*x1**2+0.55,"mul(add(X0, exp(0.131)), mul(X0, X0))","[36.15694148 37.48130216 38.80566285 40.13002354 41.45438423 42.77874492
 44.10310561 45.4274663  46.75182699 48.07618768 49.40054837 50.72490906
 52.04926975 53.37363044 54.69799112 56.02235181 57.3467125  58.67107319
 59.99543388 61.31979457 62.64415526 63.96851595 65.29287664 66.61723733
 67.94159802 69.26595871 70.59031939 71.91468008 73.23904077 74.56340146]","[ 40.75004027  44.44547892  48.35572514  52.48677894  56.84464031
  61.43530926  66.26478578  71.33906988  76.66416156  82.24606081
  88.09076764  94.20428204 100.59260402 107.26173358 114.21767071
 121.46641542 129.01396771 136.86632757 145.029495   153.50947002
 162.3122526  171.44384277 180.91024051 190.71744583 200.87145872
 211.37827919 222.24390723 233.47434285 245.07558605 257.05363682]",0.2659363068835651,7.160369434935896e-05,2.622976064682007,92.40762615203857
20,0.56*x1**2+0.69*x1+0.82,"add(add(exp(0.214), sin(sqrt(exp(X0)))), add(mul(X0, X0), log(-0.307)))","[ 8.1779584   8.52776997  8.87758154  9.22739312  9.57720469  9.92701626
 10.26912329 10.59475743 10.92039157 11.24602571 11.57165985 11.89729399
 12.22292813 12.54856227 12.87419641 13.19983055 13.52546469 13.85109883
 14.17673297 14.50236711 14.82800125 15.15363539 15.47926953 15.80490367
 16.13053781 16.45617195 16.78180609 17.10744023 17.43307437 17.75870851]","[ 8.66754574  9.3263605  10.06738233 10.89378381 11.8032354  12.78612455
 13.82410455 14.88945751 15.94588626 16.95140028 17.86384268 18.64920906
 19.29213475 19.80674671 20.24462903 20.69536587 21.27480304 22.09792624
 23.23815031 24.68302754 26.30596004 27.87923308 29.147403   29.95428205
 30.37283024 30.74571024 31.54758602 33.07232754 35.12114309 37.00201633]",0.031269162637873854,0.1152210237033425,4.166637897491455,93.43104863166809
21,0.93*sqrt(0.62*x1+1),"exp(mul(0.157, X0))","[1.60073465 1.62064207 1.6405495  1.66045692 1.68036435 1.70027178
 1.7201792  1.74008663 1.75999405 1.77990148 1.79980891 1.81971633
 1.83962376 1.85953118 1.87943861 1.89934604 1.91925346 1.93916089
 1.95906831 1.97897574 1.99888317 2.01879059 2.03869802 2.05860544
 2.07851287 2.0984203  2.11832772 2.13823515 2.15814257 2.17805   ]","[1.62778737 1.65357313 1.67976736 1.70637653 1.73340721 1.76086609
 1.78875995 1.81709567 1.84588026 1.87512082 1.90482459 1.93499889
 1.96565118 1.99678903 2.02842014 2.06055232 2.0931935  2.12635175
 2.16003526 2.19425235 2.22901147 2.26432121 2.30019029 2.33662757
 2.37364206 2.41124289 2.44943935 2.48824089 2.52765708 2.56769766]",0.002345125123663788,0.02399168605810566,0.6036026477813721,80.89778447151184
22,2*x1+sin(x1)-0.89,"add(X0, X0)","[2.75474732 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732
 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732
 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732
 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732
 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732 2.75474732]","[ 6.2  6.4  6.6  6.8  7.   7.2  7.4  7.6  7.8  8.   8.2  8.4  8.6  8.8
  9.   9.2  9.4  9.6  9.8 10.  10.2 10.4 10.6 10.8 11.  11.2 11.4 11.6
 11.8 12. ]",0.3889009250655453,0.04640445313423484,0.9287950992584229,72.56826663017273
23,0.93*x1*sin(0.85*x1+0.49),"mul(sqrt(X0), add(0.115, sin(X0)))","[ 0.19479014  0.02750152 -0.1397871  -0.30707572 -0.47436434 -0.64165296
 -0.80894158 -0.9762302  -1.14351882 -1.31080744 -1.47809606 -1.64538468
 -1.8126733  -1.97996192 -2.14725054 -2.31453916 -2.48182778 -2.6491164
 -2.81640502 -2.98369364 -3.15098226 -3.31827088 -3.4855595  -3.65284812
 -3.82013674 -3.98742536 -4.15471398 -4.3220026  -4.45754198 -4.59148135]","[ 0.27524147  0.10084102 -0.07811284 -0.25961336 -0.44158524 -0.6219083
 -0.79844185 -0.96904949 -1.13162416 -1.28411301 -1.42454195 -1.5510395
 -1.66185977 -1.75540413 -1.83024152 -1.88512704 -1.91901859 -1.93109144
 -1.92075049 -1.88764003 -1.83165099 -1.75292546 -1.65185843 -1.52909681
 -1.38553553 -1.22231095 -1.04079142 -0.84256528 -0.62942622 -0.40335627]",1.3627083382473502,5.098190841821814,1.4460997581481934,77.81257700920105
24,-sin(sin(0.4*x1+0.16)),"mul(-0.525, sqrt(X0))","[-0.58282025 -0.5814629  -0.58010555 -0.57874821 -0.57739086 -0.57603351
 -0.57467617 -0.57331882 -0.57196147 -0.57060413 -0.56924678 -0.56788943
 -0.56653209 -0.56517474 -0.56381739 -0.56246005 -0.5611027  -0.55974535
 -0.55838801 -0.55703066 -0.55567332 -0.55431597 -0.55295862 -0.55160128
 -0.55024393 -0.54888658 -0.54752924 -0.54617189 -0.54481454 -0.5434572 ]","[-0.92404391 -0.93882955 -0.95338591 -0.96772335 -0.98185145 -0.99577911
 -1.00951464 -1.02306578 -1.03643976 -1.04964335 -1.06268289 -1.07556437
 -1.08829338 -1.10087523 -1.11331489 -1.12561709 -1.13778627 -1.14982668
 -1.1617423  -1.17353694 -1.18521421 -1.19677755 -1.20823023 -1.21957536
 -1.23081592 -1.24195476 -1.25299457 -1.26393796 -1.27478742 -1.28554531]",0.042914151038759986,0.17334116895501245,0.3100743293762207,76.1278281211853
25,0.1*x1**3,"mul(mul(X0, 0.666), mul(add(add(X0, -0.017), mul(-0.537, X0)), mul(0.308, X0)))","[2.41882402 2.45385492 2.48888582 2.52391672 2.55894762 2.5902279
 2.62036007 2.65049223 2.6806244  2.71075656 2.74088872 2.77102089
 2.80115305 2.83128522 2.86141738 2.89154955 2.92168171 2.95181387
 2.98194604 3.0120782  3.04221037 3.07234253 3.10247469 3.13260686
 3.16273902 3.19287119 3.22300335 3.25313552 3.28326768 3.31339984]","[ 2.79080892  3.07084403  3.36901173  3.68588085  4.02202021  4.37799863
  4.75438494  5.15174795  5.57065649  6.01167938  6.47538543  6.96234348
  7.47312233  8.00829082  8.56841777  9.15407199  9.76582231 10.40423754
 11.06988652 11.76333806 12.48516098 13.2359241  14.01619625 14.82654625
 15.66754291 16.53975507 17.44375153 18.38010113 19.34937268 20.35213501]",0.41676538771293486,2.0767980440187695e-05,0.8862593173980713,16.324222803115845
26,0.8*sqrt(x1),"sqrt(mul(-0.636, X0))","[1.44686619 1.47623957 1.50561295 1.53498632 1.5643597  1.59373308
 1.62310646 1.65247983 1.68185321 1.71122659 1.74059996 1.76997334
 1.79934672 1.8287201  1.85809347 1.88746685 1.91684023 1.9462136
 1.97558698 2.00496036 2.03433373 2.06370711 2.09308049 2.12245387
 2.15182724 2.18120062 2.210574   2.23994737 2.26932075 2.29869413]","[1.40468113 1.42715746 1.44928525 1.47108024 1.492557   1.51372908
 1.53460908 1.55520879 1.57553917 1.59561055 1.61543256 1.63501427
 1.65436423 1.67349046 1.69240056 1.71110168 1.72960062 1.74790378
 1.76601726 1.78394682 1.80169798 1.81927593 1.83668567 1.85393192
 1.87101921 1.88795186 1.90473398 1.92136953 1.93786228 1.95421583]",0.010413378107245751,7.4307513292108e-05,1.0295569896697998,4.157168865203857
27,0.83*sqrt(x1)+x1,"add(X0, sqrt(mul(-0.683, X0)))","[4.51514025 4.62380846 4.73247667 4.84114489 4.9498131  5.05848131
 5.16714953 5.27580501 5.38396156 5.49211811 5.60027465 5.7084312
 5.81658775 5.9247443  6.03290085 6.1410574  6.24921394 6.35737049
 6.46552704 6.57368359 6.68184014 6.78999669 6.89815323 7.00630978
 7.11446633 7.22262288 7.33077943 7.43893598 7.54709252 7.65524907]","[4.55554857 4.67883882 4.80176792 4.92435217 5.04660666 5.16854544
 5.29018157 5.41152725 5.53259386 5.65339207 5.77393189 5.89422271
 6.01427338 6.13409223 6.25368712 6.37306546 6.49223429 6.61120026
 6.72996968 6.84854853 6.9669425  7.085157   7.2031972  7.32106798
 7.43877405 7.55631988 7.67370973 7.7909477  7.90803769 8.02498346]",0.0011682603509525727,4.885827940639476e-07,1.404648780822754,20.993894338607788
28,1.83*x1-1.34,"mul(add(-0.732, X0), exp(0.606))","[4.311623   4.46293552 4.61424804 4.76556056 4.91687308 5.0681856
 5.21949812 5.37081063 5.52212315 5.67343567 5.82474819 5.97606071
 6.12737323 6.27868575 6.42999827 6.58131079 6.73262331 6.88393583
 7.03524835 7.18656087 7.33787339 7.4891859  7.64049842 7.79181094
 7.94312346 8.09443598 8.2457485  8.39706102 8.54837354 8.69968606]","[4.34188146 4.52524551 4.70860956 4.8919736  5.07533765 5.2587017
 5.44206575 5.6254298  5.80879385 5.9921579  6.17552195 6.358886
 6.54225005 6.72561409 6.90897814 7.09234219 7.27570624 7.45907029
 7.64243434 7.82579839 8.00916244 8.19252649 8.37589053 8.55925458
 8.74261863 8.92598268 9.10934673 9.29271078 9.47607483 9.65943888]",0.004608633518177213,6.463098382979726e-06,2.9313790798187256,41.46344327926636
29,1.79*x1**2,"mul(add(sqrt(log(sqrt(sqrt(exp(-0.921))))), add(X0, 0.303)), mul(X0, X0))","[ 36.4350092   39.1257122   41.81641521  44.50711821  47.19782121
  49.88852421  52.57922721  55.26993021  57.96063321  60.65133621
  63.34203921  66.03274221  68.72344522  71.41414822  74.10485122
  76.79555422  79.48625722  82.17696022  84.86766322  87.55836622
  90.24906922  92.93977222  95.63047523  98.32117823 101.01188123
 103.70258423 106.39328723 109.08399023 111.77469323 114.46539623]","[ 37.31301842  40.78313722  44.46091057  48.3523385   52.46342099
  56.80015804  61.36854966  66.17459584  71.22429659  76.5236519
  82.07866178  87.89532622  93.97964523 100.3376188  106.97524694
 113.89852964 121.1134669  128.62605874 136.44230513 144.56820609
 153.00976162 161.77297171 170.86383637 180.28835559 190.05252937
 200.16235772 210.62384064 221.44297812 232.62577016 244.17821677]",0.1146659754435515,2.291899642678328e-07,7.447453737258911,27.213625192642212
